FAIL | Works and Days | Hesiod | no source found — minimal stub written
FAIL | Theogony | Hesiod | no source found — minimal stub written
FAIL | Fragments | Heraclitus | no source found — minimal stub written
FAIL | Fragments | Parmenides | no source found — minimal stub written
FAIL | De Rerum Natura | Lucretius | no source found — minimal stub written
FAIL | The Gallic Wars | Caesar | no source found — minimal stub written
FAIL | Fragments | Heraclitus | no source found — minimal stub written
FAIL | Letters | Cicero | no source found — minimal stub written
FAIL | Fragments | Parmenides | no source found — minimal stub written
FAIL | Rigveda | unknown | no source found — minimal stub written
FAIL | Letters | Cicero | no source found — minimal stub written
FAIL | Upanishads | unknown | no source found — minimal stub written
FAIL | Yoga Sutras | Patanjali | no source found — minimal stub written
FAIL | Arthashastra | Kautilya | no source found — minimal stub written
FAIL | Arthashastra | Kautilya | no source found — minimal stub written
FAIL | Gathas of Zarathustra | unknown | no source found — minimal stub written
FAIL | Gathas of Zarathustra | unknown | no source found — minimal stub written
FAIL | Vendidad | unknown | no source found — minimal stub written
FAIL | Vendidad | unknown | no source found — minimal stub written
FAIL | Torah | unknown | no source found — minimal stub written
FAIL | Torah | unknown | no source found — minimal stub written
FAIL | Dead Sea Scrolls selections | unknown | no source found — minimal stub written
FAIL | Dead Sea Scrolls selections | unknown | no source found — minimal stub written
FAIL | Targums selections | unknown | no source found — minimal stub written
FAIL | Targums selections | unknown | no source found — minimal stub written
FAIL | Talmud selections Aramaic | unknown | no source found — minimal stub written
FAIL | Talmud selections Aramaic | unknown | no source found — minimal stub written
FAIL | Popol Vuh | unknown | no source found — minimal stub written
FAIL | Chilam Balam | unknown | no source found — minimal stub written
FAIL | Chilam Balam | unknown | no source found — minimal stub written
FAIL | Florentine Codex selections | Sahagun | no source found — minimal stub written
FAIL | Florentine Codex selections | Sahagun | no source found — minimal stub written
FAIL | Aztec poetry anthology | unknown | no source found — minimal stub written
FAIL | Aztec poetry anthology | unknown | no source found — minimal stub written
FAIL | Anglo-Saxon Chronicle | unknown | no source found — minimal stub written
FAIL | Gothic Bible selections | Wulfila | no source found — minimal stub written
FAIL | Gothic Bible selections | Wulfila | no source found — minimal stub written
FAIL | Cyrillic Alphabet Origin | unknown | no source found — minimal stub written
FAIL | Cyrillic Alphabet Origin | unknown | no source found — minimal stub written
FAIL | Lives of Cyril and Methodius | unknown | no source found — minimal stub written
FAIL | Lives of Cyril and Methodius | unknown | no source found — minimal stub written
FAIL | The Tale of Genji | Murasaki Shikibu | no source found — minimal stub written
FAIL | The Divine Comedy | Dante | no source found — minimal stub written
FAIL | One Thousand and One Nights | unknown | no source found — minimal stub written
FAIL | Mahabharata | unknown | no source found — minimal stub written
FAIL | Course in General Linguistics | Saussure | no source found — minimal stub written
FAIL | Course in General Linguistics | Saussure | no source found — minimal stub written
FAIL | Language | Bloomfield | no source found — minimal stub written
FAIL | Language | Bloomfield | no source found — minimal stub written
FAIL | Syntactic Structures | Chomsky | no source found — minimal stub written
FAIL | Syntactic Structures | Chomsky | no source found — minimal stub written
FAIL | Language and Mind | Chomsky | no source found — minimal stub written
FAIL | Language and Mind | Chomsky | no source found — minimal stub written
FAIL | The Language Instinct | Pinker | no source found — minimal stub written
FAIL | The Language Instinct | Pinker | no source found — minimal stub written
FAIL | Metaphors We Live By | Lakoff Johnson | no source found — minimal stub written
FAIL | Metaphors We Live By | Lakoff Johnson | no source found — minimal stub written
FAIL | Through the Language Glass | Deutscher | no source found — minimal stub written
FAIL | Through the Language Glass | Deutscher | no source found — minimal stub written
FAIL | Brave New World | Huxley | no source found — minimal stub written
FAIL | Brave New World | Huxley | no source found — minimal stub written
FAIL | Nineteen Eighty-Four | Orwell | no source found — minimal stub written
FAIL | Nineteen Eighty-Four | Orwell | no source found — minimal stub written
FAIL | Ficciones | Borges | no source found — minimal stub written
FAIL | Ficciones | Borges | no source found — minimal stub written
FAIL | Labyrinths | Borges | no source found — minimal stub written
FAIL | Labyrinths | Borges | no source found — minimal stub written
FAIL | The Trial | Kafka | no source found — minimal stub written
FAIL | The Stranger | Camus | no source found — minimal stub written
FAIL | The Stranger | Camus | no source found — minimal stub written
FAIL | Flowers for Algernon | Keyes | no source found — minimal stub written
FAIL | Flowers for Algernon | Keyes | no source found — minimal stub written
FAIL | Solaris | Lem | no source found — minimal stub written
FAIL | Solaris | Lem | no source found — minimal stub written
FAIL | I Robot | Asimov | no source found — minimal stub written
FAIL | I Robot | Asimov | no source found — minimal stub written
FAIL | The Moon is a Harsh Mistress | Heinlein | no source found — minimal stub written
FAIL | The Moon is a Harsh Mistress | Heinlein | no source found — minimal stub written
FAIL | The Analysis of Beauty | Hogarth | no source found — minimal stub written
FAIL | The Analysis of Beauty | Hogarth | no source found — minimal stub written
FAIL | Seven Lamps of Architecture | Ruskin | no source found — minimal stub written
FAIL | Seven Lamps of Architecture | Ruskin | no source found — minimal stub written
FAIL | The Principles of Art | Collingwood | no source found — minimal stub written
FAIL | The Principles of Art | Collingwood | no source found — minimal stub written
FAIL | Concerning the Spiritual in Art | Kandinsky | no source found — minimal stub written
FAIL | Concerning the Spiritual in Art | Kandinsky | no source found — minimal stub written
FAIL | Ways of Seeing | Berger | no source found — minimal stub written
